"제어번호","제목","저자","발행처","발행년도","ISBN번호","분류기호","대출횟수"
"000001622218","혼자 가는 미술관","박현정","한권의책","2014","9791185237060","6","4"
"000001590557","혼자 공부하는 데이터 분석 :with 파이썬 : 1:1 과외하듯 배우는 데이터 분석 자습서","박해선 지음","한빛미디어","2023","9791169210287","0","4"
"000001624940","혼자 있고 싶은데 외로운 건 싫어","피터 홀린스","포레스트북스","2018","9791196273149","1","4"
"000001637609","혼자서도 잘 만드는 종이 미술놀이","매기 우들리","파스텔하우스","2022","9791197494260","6","4"
"000001624993","혼자이거나, 외롭거나, 고독하거나","소리타 가쓰히코","시그마북스","2020","9791190257503","1","4"
"000001625820","화가가 사랑한 나무들","앵거스 하일랜드.켄드라 윌슨 지음, 김정연.주은정 옮김","오후의서재","2023","9791197060298","6","4"
"000001625065","화이트 타이거","아라빈드 아디가","베가북스","2009","9788992309202","8","4"
"000001296939","회복탄력성 :시련을 행운으로 바꾸는 마음 근력의 힘 =Resilience","김주환 지음","위즈덤하우스 미디어그룹","2019","9791189938772","1","4"
"000001624942","회피하지 않고 해피하게","간단심리","매일경제신문사","2022","9791164844579","1","4"
"000001632389","후쿠오카 :두 권으로 즐기는 완벽한 여행 분리형 가이드북 : 2023-24 최신개정판 .2 ,코스북(Course book) =Fukuoka","전상현","길벗","2023","9791140704606","9","4"
"000001624924","힘들 때, 지칠 때","유진 T. 젠들린","팬덤북스","2020","9791161691183","1","4"
"000001637301","'Surely You're Joking, Mr. Feynman!'","Feynman, Richard P","W. W. Norton & Company","    ","","3","3"
"000001393860","('게으른 나'를 인정했더니) 방이 더 깨끗해졌어요! :게으름뱅이의 작심삼일 퇴치하기","와타나베 폰 지음","이아소","2020","9791187113423","5","3"
"000001625354","(12세 전에 완성하는)뇌과학 독서법","김대식","비룡소","2023","9788949135083","0","3"
"000001591234","(15년 만에 다시 쓴) 어? 성경이 읽어지네! ,구약(The old testament)","이애실 지음","성경방: 글로벌에듀포올피플(Global Edu for All People)","2018","9791195543779","2","3"
"000001095064","(1일 1분 보기만 해도 눈이 좋아지는) 기적의 사진 28","하야시다 야스다카 지음","그린북: 그린페이퍼","2018","9791187499114","5","3"
"000001517744","(21세기) 영양학 =Nutrition","최혜미 [외] 저","교문사","2021","9788936322076","5","3"
"000001582847","(365일 인생의 내공을 기르는) 하루 한 장 고전 수업","조윤제 지음","비즈니스북스","2022","9791162543146","1","3"
"000001340944","(4차 산업혁명 시대의) 이산수학 =Discrete mathematics","김대수 지음","생능출판","2019","9788970509808","4","3"
"000001519694","(A) swim in a pond in the rain :in which four Russians give a master class on writing, reading, and life","[by] George Saunders","Random House","2021","9781984856029","8","3"
"000001590832","(Baby science) 베싸육아 :0~4세 알기만 해도 차이를 만드는 육아 대원칙 6","박정은 지음","래디시","2023","9791198129109","5","3"
"000001372185","(Burdge/Overby) 일반화학 :원자부터 시작하기","Julia Burdge","청문각 : 교문사","2018","9788936318086","4","3"
"000000988093","(Das) caf? der existenzialisten :freiheit, sein und aprikosencocktails: mit Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty und anderen","[by] Sarah Bakewell","C.H.Beck","2017","9783406697647","1","3"
"000001473121","(Do it!) 사용자의 행동을 분석해 성과를 높이는 구글 애널리틱스 :입문","김선영","이지스퍼블리싱","2021","9791163032052","0","3"
"000001131330","(Just go) 타이완 :2018~2019년 최신개정판 =Taiwan","박진주 지음","시공사","2018","9788952790293","9","3"
"000001611651","(K탐정의) 척척척 대한민국 .1 ,어린이 대표 팀의 진짜 국민 찾기","양화당 글","웅진주니어 : 웅진씽크빅","2022","9788901258317","3","3"
"000001349531","(New the 바른) 인도네시아어 .Step 2 =Indonesia","플로리안 후타갈룽 저","ECK Books(ECK북스)","2019","9788992281782","7","3"
"000000993615","(New) 리딩 스펙트럼 .2 ,문화 예술 편 =(Korea Joongang Daily) Reading spectrum","홍준기 지음","EnG : Jonghap books","2017","9788980996438","7","3"
"000001626273","(R을 이용한) 통계데이터분석 =Statistical data analysis with R","곽기영 저","청람","2023","9788959729364","4","3"
"000001156341","(SPSS를 이용한) 간호?보건 통계분석","김묘경","계축문화사","2018","9788956294933","5","3"
"000001543186","(The) ventilator book","William Owens 지음","군자출판사","2021","9791159556289","5","3"
"000001622416","(The) 상남자 BBQ 레시피 77 =Tough guy barbecue recipes","Okano Eisuke 지음","Greencook(그린쿡)","2022","9788971908174","5","3"
"000001632438","(White의) 유체역학","Frank M. White","Mc Graw Hill Education(맥그로힐에듀케이션코리아)","2023","9791132112808","5","3"
"000001525847","(Why?) 게임 과학","조영선 글","예림당","2020","9788930237970","4","3"
"000001131014","(Why?) 만화와 애니메이션","김초록 글","예림당","2018","9788930231664","6","3"
"000001334981","(Why?) 미국","남춘자 글","예림당","2019","9788930238632","9","3"
"000000086210","(Why?) 삼국의 경쟁","이근 글","예림당","2010","9788930232319","9","3"
"000001632439","(?engel의 알기 쉬운) 열전달","Yunus A. ?engel","McGraw Hill(맥그로힐에듀케이션코리아)","2023","9791132112839","5","3"
"000000028399","(가장 쉬운) 스페인어 첫걸음의 모든 것 :회화편","박기호 지음","동양북스","2012","9788983005168","7","3"
"000001556691","(가장 쉬운) 인스타툰 만들기","박희연 지음","정보문화사","2022","9788956749181","6","3"
"000001525650","(거꾸로 읽는) 그리스 로마사 :신화가 아닌 보통 사람의 삶으로 본 그리스 로마 시대","개릿 라이언 지음","다산초당: 다산북스","2022","9791130679945","9","3"
"000001405919","(고종과 아관파천) 이희, 러시아공사관에서 375일","김영수 지음","역사공간","2020","9791157074136","9","3"
"000000811947","(관주.해설) 성경전서 :독일성서공회 해설 =(The) NKRV study Bible","대한성서공회 [편]","대한성서공회","2014","9788953717343","2","3"
"000001512153","(교양으로 읽는) 초한지 :불세출의 두 영웅이 펼치는 천하통일 이야기","견위 지음","탐나는책","2021","9791189550486","8","3"
"000001320854","(교양으로 읽는) 희토류 이야기","키스 베로니즈 지음","반니","2019","9791189653118","4","3"
"000001351511","(교육학적 사유를 여는) 교육의 철학과 역사 =Philosophy and history of education","정영근","문음사","2019","9788981685461","3","3"
"000001473063","(그림으로 보는) 그리스 로마 신화 :어린이 처음 인문학 .3 ,신들의 사랑 이야기","스카이엠 글","계림북스","2016","9788953331235","2","3"
"000001044832","(그림으로 즐기는) 프랑스어 :일상단어","Yuka Miyakata 글","다락원(DARAKWON)","2017","9788927700883","7","3"
"000001621228","(그림책으로 배우는)삶과 죽음","임경희","학교도서관저널","2021","9788969151094","0","3"
"000001542647","(기독교로 보는) 세계역사 =World history through the eyes of christianity","김동주 저","킹덤북스","2020","9788994157337","2","3"
"000001156680","(기초부터 완성까지) 서각(刻字) 만들기 :최초공개 畵報版","쵸요세끼 著","이화문화출판사","2017","9791155472958","6","3"
"000001620115","(기후 위기 해결사) 사이다 탐정 .3 ,산불 방화범 찾기 대작전","백명식 글?그림","와이즈만 Books","2023","9791190744621","5","3"
"000001634207","(기후로 다시 읽는) 세계사 :역사를 뒤흔든 지리의 힘, 기후를 뒤바꾼 인류의 미래","이동민 지음","갈매나무","2023","9791191842463","9","3"
"000001625430","(김상균 교수의)메타버스","김상균, 오정석","동아시아사이언스","2021","9791191644067","4","3"
"000001047504","(김상욱의) 양자 공부 :완전히 새로운 현대 물리학 입문","김상욱 [지음]","사이언스북스","2017","9788983718914","4","3"
"000001634476","(김재우의) 영어회화 100 :원어민처럼 말하는 진짜 영어회화 : 100일 후, 당신의 입에서 나오는 영어에 놀랄 것이다!","김재우 지음","상상스퀘어","2023","9791192389172","7","3"
"000000989286","(깁고 더한) 영어 구두점의 문법","한학성 [지음]","채륜","2017","9791186096451","7","3"
"000001476070","(나 홀로 읽는) 도덕경","최진석 지음","시공사","2021","9791165795054","1","3"
"000001295565","(나의 첫 자유여행) 오사카 인 트래블 그램 =Osaka in travelgram","방병구 사진,글","동양books(동양북스)","2019","9791157684830","9","3"
"000000971525","(나혼자 끝내는) 독학 독일어 첫걸음","안희철 지음","넥서스","2017","9791157520091","7","3"
"000000636293","(나홀로 하는) 민사소송실무","김동근","진원사","2014","9788963463643","3","3"
"000001094816","(나홀로) 민사소송 개시에서 종결까지 :유형별 해설과 서식, 사례: 민사소송 절차를 알기 쉽게","김만기 편저","법문북스","2018","9788975356223","3","3"
"000000829051","(난생 처음 한번 공부하는) 미술 이야기 .2 ,그리스?로마 문명과 미술 : 인간, 세상의 중심에 서다","양정무 지음","사회평론","2016","9788964358306","6","3"
"000001242240","(난생 처음 한번 공부하는) 미술 이야기 .5 ,이탈리아 르네상스 문명과 미술: 갈등하는 인간이 세계를 바꾸다","양정무 지음","사회평론","2018","9791162730249","6","3"
"000001240497","(난생 처음 한번 들어보는) 클래식 수업 .1 ,모차르트, 영원을 위한 호소","민은기 지음","사회평론","2018","9791162730256","6","3"
"000001238204","(난생 처음) 교토 :처음 교토에 가는 사람이 가장 알고 싶은 것들 : 2018~2019 최신판 =Kyoto","정해경 지음","메이트북스: 원앤원콘텐츠그룹","2018","9791160021349","9","3"
"000000988857","(날 알아주는 과외쌤처럼 친절한) 걱정 마 수학 :중1 과정","김지영","북오션: 북오션에듀월드","2017","9788967993252","4","3"
"000000784287","(내 몸 해독의 시작) 배변력 :일주일이면 장이 달라진다","마쓰이케 쓰네오 지음","삼호미디어","2015","9788978495264","5","3"
"000001234519","(내일은) 시코쿠 :다카마츠?마츠야마?도쿠시마?고치: 2018-2019 최신개정판","온 더 로드 [지음]","착한책방","2018","9791188063130","9","3"
"000001294919","(다시 시작하는) 일러스트 해체신서 :프로 데뷔를 앞당기는 노하우와 실전 일러스트 제작 비법 공개!","다테나오토","한스미디어 : 한즈미디어","2019","9791160073416","6","3"
"000001638022","(대충 봐도 머리에 남는) 어린이 야구 상식 :야구의 재미를 제대로 알게 하는 알쏭달쏭 야구의 모든 것","김양희 글","블루무스어린이","2023","9791198381811","6","3"
"000001476252","(데이터 과학 기반의) 파이썬 빅데이터 분석","이지영 지음","한빛아카데미","2020","9791156645078","0","3"
"000000178440","(동영상으로 배우는) 신 왕초보 중국어 첫걸음","한민이 지음","넥서스CHINESE","2012","9788957952245","7","3"
"000001557756","(된다!) NFT 메타버스 저작권 문제 해결","오승종","이지스퍼블리싱","2022","9791163033608","3","3"
"000001400032","(된다!) 유튜브?SNS?콘텐츠 저작권 문제 해결 :25년간 저작권을 다뤄온 판사 출신 변호사의 실무 답변 108가지","오승종 지음","이지스퍼블리싱","2020","9791163031611","3","3"
"000001319586","(두 달 안에 아픈 곳이 나아지는) 맨발걷기의 기적","박동창 지음","시간여행","2019","9791185346946","5","3"
"000001622359","(디자이너의 접근법) 새로고침 :디자인적으로 사고하고 디자이너의 방식으로 새로운 시대에 대처하고 디자이너의 관점으로 자기 일을 개척하는 법 =Refresh : designer's approach","이상인 지음","가나 : 가나문화콘텐츠","2021","9791168090194","6","3"
"000001609626","(레전드) 하루 3분 일본어 :#상황별 왕초보 일본어 회화 #에리 쌤의 해설 강의 =3-minute daily Japanese","권선욱","랭귀지북스","2023","9791156351962","7","3"
"000001627547","(로보카 폴리) 스쿨비랑 소풍 가요!","로이비쥬얼 원작","로이 Books : 로이비쥬얼","2023","9791190897594","3","3"
"000001627749","(로보카 폴리) 우르르 쾅, 지진 발생!","로이비쥬얼 원작","로이 Books : 로이비쥬얼","2023","9791190897624","3","3"
"000001629847","(로보카 폴리) 으악, 한 개 남았어!","로이비쥬얼 원작","로이 Books : 로이비쥬얼","2023","9791190897693","3","3"
"000001589734","(류승재 특급 비법) 진짜 수학 공부법 :수학 핵심 공략법 & 수학 공부 로드맵","류승재 지음","경향BP(경향비피)","2023","9788969525307","4","3"
"000001634186","(마구로센세의) 여행 일본어 마스터 :일본 여행 편안하게 다녀오는 능력치 키우기","최유리","Bs(브레인스토어)","2023","9791169780070","7","3"
"000001634668","(만화 퀴즈로 푸는) 어린이 속담 :슬기로운 초등 생활을 만드는 생활 밀착 속담 퀴즈","강승임 글","다락원","2020","9788927747574","3","3"
"000001634201","(만화로 보는) 결정적 세계사 :제2차 세계대전부터 21세기까지, 지정학으로 본 국제정치사","파스칼 보니파스 글","한빛비즈","2023","9791157846580","3","3"
"000001611907","(만화로 보는) 일리아스 :트로이의 노래","동사원형 글?그림","한빛비즈","2023","9791157846450","8","3"
"000000524677","(말문이 터지는) 스페인어 첫걸음 =Espanol","최혜숙 지음","넥서스","2014","9788967907921","7","3"
"000000831415","(말이 통하는) 스페인어 회화 꿀 패턴","박은주 지음","문예림","2016","9788974828646","7","3"
"000001485554","(맛있는 밥을 간편하게 즐기고 싶다면) 뚝딱 한 그릇, 밥 :덮밥 비빔밥 한입 밥 솥밥 국밥","장연정 지음","리스컴","2021","9791156162100","5","3"
"000001590012","(매일 만들어 먹고 싶은) 비건?한식 :사찰 음식을 모티브로 한 소박한 채식 집밥 106가지","정재덕 지음","레시피팩토리","2023","9791192366166","5","3"
"000000822037","(명화와 함께하는 성경만화) 미술관이 살아있다 :신약 .1 ,예수님의 탄생","뮤세이온 글?그림","주니어 아가페","2015","9788993524314","2","3"
"000001589661","(몸으로 읽는) 세계사 :사소한 몸에 숨겨진 독특하고 거대한 문명의 역사","캐스린 페트라스","다산초당: 다산북스","2023","9791130695303","9","3"
"000001558899","(몸을 위한 최선) 셀프 메디케이션 :알아두면 약이 되는 약 선택 완벽 가이드 =Self medication","배현 지음","Korea.com(코리아닷컴)","2022","9791190488358","5","3"
"000001589727","(몸의 감각을 깨우고 온전히 나를 되찾는) 걷는 존재","애나벨 스트리츠 지음","위즈덤하우스","2023","9791168125728","6","3"
"000001402764","(무로이 야스오가 알려주는) 최고의 그림을 그리는 방법","무로이 야스오 저","영진닷컴","2020","9788931463217","6","3"
"000001334920","(무엇이든 해결단) 허팝 연구소 .5 ,곤충 숲 미스터리 대소동","라곰씨 글","라이카미: 부즈펌","2019","9791187504856","4","3"
"000001611127","(무조건 따라하면 통하는) 일상생활 일본어 회화 급상승","이원준 엮음","탑메이드북","2022","9788971729649","7","3"
"000001590633","(미국인 사용빈도 다반사) 영어회화 구동사 :phrasal verbs","김아영","사람in","2023","9788960499959","7","3"
"000001574617","(미래가 온다) 심해 탐사","김성화","와이즈만 Books","2022","9791190744522","4","3"
"000001590493","(바른자세와 효과적인 움직임을 위한) 근막시스템","Lauri Nemetz 지음","영문출판사","2023","9788972245469","5","3"
"000001556996","(박문호 박사의) 빅히스토리 공부 :우주의 탄생부터 인간 의식의 출현까지 =History of the universe","박문호 지음","김영사","2022","9788934961789","4","3"
"000001629361","(박시백의) 고려사 .3 ,무신정권과 반란의 새대","박시백 지음","Humanist(휴머니스트출판그룹): H","2023","9791160809527","9","3"
"000000737063","(박시백의) 조선왕조실록 .1 ,개국 =The Annals of the Joseon dynasty","박시백 글.그림","휴머니스트","2015","9788958628019","9","3"
"000000737066","(박시백의) 조선왕조실록 .2 ,태조?정종실록 =The Annals of the Joseon dynasty","박시백 글.그림","휴머니스트","2015","9788958628026","9","3"
"000000098892","(박시백의) 조선왕조실록 :대하역사만화 .2 ,태조?정종실록 : 정도전의 개혁과 왕자의 난","박시백 글?그림","휴머니스트 출판그룹","2005","9788958620365","9","3"
"000001627543","(밥 프록터) 부의 시크릿 :전 세계 수백만 명의 인생을 역전시킨 부와 성공의 비밀","밥 프록터 지음","부키","2023","9788960519862","1","3"
"000001298920","(백년 면역력을 키우는) 짠맛의 힘 :'원인 모를 염증'과 '만성질환'에서 탈출하는 최강의 소금 사용설명서","김은숙","Angle books(앵글북스)","2019","9791187512394","5","3"
"000000022305","(법률사무원을 위한) 종합법률실무 핸드북","김덕원","진원사","2012","9788963461410","3","3"
"000001625585","(베르나르 베르베르의)고양이","베르나르 베르베르(원작), 포그(각색)","미메시스","2022","9791155352786","8","3"
"000000029374","(볼수록 만만한) 야구","김윤정 지은이","형설Life","2010","9788992984690","6","3"
"000001622304","(부자들의) 초격차 독서법 :부자들의 지식은 복리로 쌓인다","가미오카 마사아키 지음","쌤앤파커스","2021","9791165344283","0","3"
"000001621241","(비로소 이해되는)치매의 세계","가케이 유스케","에디터","2022","9788967442439","5","3"
"000001589774","(빨간 내복의) 코딱지히어로 :초능력 과학 동화 .1 ,알쏭달쏭 물질","서지원 글","와이즈만 Books","2023","9791190744973","4","3"
"000001629856","(사교육 없이 혼자서 습득하는) 초등 몰입 영어","케다맘 지음","넥서스","2023","9791166835995","7","3"
"000001571564","(삼성서울병원) 순환기내과 매뉴얼 :심혈관 진료 quick manual : 救心 =Samsung Medical Center circulatory internal medicine handbook","김덕경 외 삼성서울병원 순환기내과 교수진 저","군자출판사","2022","9791159558993","5","3"
"000001096860","(상상초월) 포켓몬 과학 연구소 .3","야나기타 리카오 글","북이십일: 아울북","2018","9788950973230","4","3"
"000001591172","(상처 주는 말 하는 친구에게) 똑똑하게 말하는 법 :화내지 않고, 참지 않고, 울지 않는 마법의 표현 59","김윤나 글","북라이프","2023","9791191013498","1","3"
"000000816756","(새로 만든) 먼나라 이웃나라 .1 ,네덜란드 =Netherlands","이원복 글?그림","김영사","2015","9788934972792","9","3"
"000000825169","(새로 만든) 먼나라 이웃나라 .10 ,미국 1 - 미국인 편 =United states of America","이원복 글?그림","김영사","2015","9788934972884","9","3"
"000000086368","(새로 만든) 먼나라 이웃나라 .4 ,영국","이원복 글?그림","김영사","2012","9788934958222","9","3"
"000001329891","(설민석의) 삼국지 :누구나 쉽게 시작하고 모두가 빠져드는 이야기 .2","설민석 [지음]","세계사","2019","9788933870839","8","3"
"000001556070","(설민석의) 세계사 대모험 .11 ,영국 산업 혁명 편 : 혁명에 맞선 자들","설민석","단꿈아이(Dankkumi)","2021","9791191496147","9","3"
"000001355244","(설민석의) 세계사 대모험 .3 ,독일편-전쟁과 평화","설민석","단꿈아이: 단꿈드림","2019","9791189001322","9","3"
"000001341227","(설민석의) 통일 대모험 .하 ,통일 편 - 설쌤! 통일 한반도가 궁금해요!","설민석","아이휴먼 : 휴먼큐브","2018","9791188874224","9","3"
"000001047718","(설민석의) 한국사 대모험 .1 ,특명! 온달을 역사 천재로 만들어라!","설민석","휴먼큐브: 아이휴먼","2017","9791195794799","9","3"
"000001374199","(설민석의) 한국사 대모험 .10 ,임시정부 편 - 공갈이는 어디에?","설민석","아이휴먼: 휴먼큐브","2019","","9","3"
"000001551230","(설민석의) 한국사 대모험 .17 ,6?25 전쟁 편 : 황금순 할머니의 소원","설민석","아이휴먼×Dankkumi: 휴먼큐브","2021","9791165382940","9","3"
"000001551231","(설민석의) 한국사 대모험 .18 ,후삼국 편 : 온달의 기묘한 시간 여행!","설민석","아이휴먼×Dankkumi: 휴먼큐브","2021","9791165382988","9","3"
"000001551232","(설민석의) 한국사 대모험 .19 ,고려 편 : 왕건, 새로운 세상을 열다!","설민석","아이휴먼×Dankkumi: 휴먼큐브","2021","9791165383053","9","3"
"000001551233","(설민석의) 한국사 대모험 .20 ,고려의 발전 편 : 서희와 거란의 한판 대결!","설민석","아이휴먼×Dankkumi: 휴먼큐브","2022","9791165383114","9","3"
"000001048832","(설민석의) 한국사 대모험 .3 ,온달, 왕의 시험에 대비하라!","설민석","휴먼큐브: 아이휴먼","2017","9791196025847","9","3"
"000001051537","(설민석의) 한국사 대모험 .4 ,선사 시대 편 - 본격 부마 결정전,온달 대 공갈!","설민석","휴먼큐브: 아이휴먼","2017","9791196025861","9","3"
"000001065464","(설민석의) 한국사 대모험 .5 ,조선 시대 편","설민석","휴먼큐브: 아이휴먼","2017","9791196232160","9","3"
"000001092788","(설민석의) 한국사 대모험 .6 ,역사 속 라이벌 편 - 설쌤과 황 대감, 화해 대작전!","설민석","휴먼큐브: 아이휴먼","2018","9791188874088","9","3"
"000001374196","(설민석의) 한국사 대모험 .7 ,지덕체 편 - 온달, 삼족오의 방울을 울려라!","설민석","아이휴먼: 휴먼큐브","2019","","9","3"
"000001193800","(설민석의) 한국사 대모험 .7 ,지덕체 편 - 온달, 삼족오의 방울을 울려라!","설민석","휴먼큐브: 아이휴먼","2018","9791188874149","9","3"
"000001374197","(설민석의) 한국사 대모험 .8 ,위기 극복 편 - 온달, 두 마리 토끼를 잡아라!","설민석","아이휴먼: 휴먼큐브","2019","","9","3"
"000001592639","(성경 전 장(章)을 이야기로 풀어 쓴) 스토리텔링 성경 ,누가복음 : 사람의 아들로 오신 메시아 예수","김영진","성서원","2021","9788936027018","2","3"
"000001626978","(성경 전 장(章)을 이야기로 풀어 쓴) 스토리텔링 성경 .8 ,히브리서~요한계시록","김영진","성서원","2022","9788936028114","2","3"
"000001557051","(성경 전 장(章)을 이야기로 풀어 쓴) 스토리텔링 성경 :갈라디아서~빌레몬서 : 바울서신 Ⅱ","김영진","성서원","2022","9788936027780","2","3"
"000001557050","(성경 전 장(章)을 이야기로 풀어 쓴) 스토리텔링 성경 :로마서, 고린도 전?후서: 바울서신 Ⅰ","김영진","성서원","2022","9788936027575","2","3"
"000001477359","(성공창업을 위한) 카페창업론 =Cafe start-up guide","김영갑","교문사","2021","9788936321284","5","3"
"000001591425","(세상에서 가장 쉬운) 재미있는 물리 :계산식 하나 없는 발칙한 물리 수업","미사와 신야 지음","미디어숲 : 다빈치하우스","2023","9791158741822","4","3"
"000001523911","(세상에서 가장 재미있는) 사랑과 욕망 세계사 :사랑과 욕망의 포로가 되어 의도치 않게 세계사의 물줄기를 바꾼 기상천외한 사람들 이야기","호리에 히로키 지음","사람과나무사이","2021","9791188635566","9","3"
"000001504197","(세상을 바꾼) 물리학","원정현 지음","리베르스쿨","2021","9788965822899","4","3"
"000001235323","(세상의 모든 아이들을 위한) 인권 사전","국제 사면 위원회 글","별글","2018","9791186877791","3","3"
"000001394639","(세상의 통찰) 철학자들의 명언 500 :마키아벨리에서 조조까지 이천년의 지혜 한 줄의 통찰 =Famous sayings 500 of philosopher","김태현 펴냄","Ritec Contents(리텍 콘텐츠)","2020","9791186151358","1","3"
"000000897535","(셀프트래블) 타이베이 :2016-2017 최신판 =Taipei","박상용 지음","상상출판","2016","9791186517581","9","3"
"000001582221","(소리튠) 영어 혁명 :30년 영알못도 귀가 뚫리고 입이 트이는","갓주아 지음","미다스북스","2022","9791169101073","7","3"
"000000788012","(소설) 녹정기 :金庸歷史大河小說 .10","김용 [지음]","중원문화","2012","9788977283961","8","3"
"000000788014","(소설) 녹정기 :金庸歷史大河小說 .11","김용 [지음]","중원문화","2012","9788977283978","8","3"
"000001509228","(소설) 녹정기 :金庸歷史大河小說 .12","김용 지음","중원문화","2020","9788977287709","8","3"
"000001630666","(수식 없이 술술) 양자물리","쥘리앙 보브로프 지음","북스힐","2023","9791159715013","4","3"
"000001558903","(쉽게 가꾸어 오랫동안 즐기는) 이끼 테라리움","오노 요시히로 지음","시그마북스","2022","9791168620186","5","3"
"000001334551","(신비아파트 고스트볼X의 탄생) 암흑의 고사성어","김현수 글","위즈덤하우스 : 위즈덤하우스 미디어그룹","2019","9791190182744","7","3"
"000001334682","(신비아파트 고스트볼X의 탄생) 퀴즈대도감 :오싹한 퀴즈 172개!!","최원영 [편]","서울문화사","2019","9791164385645","6","3"
"000001360297","(신비아파트) 공포미스터리탈출 :미스터리 과학 상식","유경원 글","서울문화사","2019","9788926382301","4","3"
"000001334492","(신비아파트) 공포이상기후탈출 :이상 기후 과학 상식","유경원 글","서울문화사","2019","9791164381180","4","3"
"000001373489","(신비아파트) 한자귀신 :오싹 공포 한자 학습 만화 .4 ,악귀 조종자","김강현 글","서울문화사","2019","9791164385454","7","3"
"000001631289","(신약) 성경 2.0 :성경통독의 새로운 기준 .2 ,누가복음, 요한복음 =The Bible","김종우 글","CM Creative","2023","9788997923243","2","3"
"000001637171","(신의 건축가로 이 땅에 온) 인간 가우디를 만나다","권혁상","J&jj","2023","9791192924045","6","3"
"000001504283","(싹 홀가분하게) 정리 못하는 사람을 위한 정리책","와타나베 아야 지음","즐거운상상","2021","9791155361627","5","3"
"000001564154","(썬킴의) 세계사 완전 정복 :패권전쟁으로 이해하는 역사의 흐름","썬킴 지음","RHK(알에이치코리아)","2022","9788925577883","9","3"
"000000174941","(아놀드 토인비) 역사의 연구 .1","아놀드 조셉 토인비 지음","더스타일","2012","9788997717057","9","3"
"000001517727","(아무데도 못 가는 당신을 위한) 방구석 빵지순례 in 도쿄","아사히신문출판 편저","Bookers(북커스)","2021","9791190118286","5","3"
"000001625371","(아이 주도 학습을 만드는)엄마의 언어 습관","이해성","포르체","2022","9791191393897","3","3"
"000001587302","(아이들도 잘 모르고 어른들은 더 모르는) 신기한 현상 사전","코코로사 글","주니어김영사 : 김영사","2022","9788934951278","0","3"
"000001611567","(아홉 살에 처음 만나는) 독서록 잘 쓰는 법 :창의력 쑥쑥! 문해력 쑥쑥!","이미영 지음","하늘을나는코끼리","2022","9791161951805","0","3"
"000001334820","(안녕 자두야) 과학일기 :자두가 가장 궁금해하는 가상 현실, 증강 현실 상식 25가지 .13 ,가상 현실, 증강 현실","이빈 [캐릭터 원작]","채우리: 학산문화사","2019","9791134819651","4","3"
"000001238878","(안전 생활 지침서)교통","세이프키즈코리아 글","다림","2018","9788961771726","3","3"
"000001626311","(알고 쓰면 재미있는) 어린이 사자성어","박일귀 글","맛있는책","2023","9791191412055","7","3"
"000001396011","(알기 쉬운) 서양요리 =Western cuisine","김동일","大旺社","2020","9788945659736","5","3"
"000001485124","(알면 다르게 보이는) 일본 문화 :45인의 덕후가 바라본 일본 이야기","이경수","지식의날개: 한국방송통신대학교 출판문화원","2021","9788920040368","9","3"
"000001626290","(알면 다르게 보이는) 일본 문화 :일본 속 한국의 흔적을 찾아서! 다채로운 일본 문화 세 번째 이야기 .3","이경수","지식의날개: 한국방송통신대학교 출판문화원","2023","9788920046735","9","3"
"000001352026","(알아두면 전혀 무서울 것 없는) 병리학 이야기 :보통 사람들도 재미있게 읽고, 이해하는 내 몸속 세포, 혈액, 그리고 암에 관한 이야기","나카노 토오루 저","영진닷컴","2019","9788931461114","5","3"
"000001156854","(엄지 척! 자신만만)신나는 여행 일본어","최윤정 지음","다락원","2017","9788927711902","7","3"
"000001634632","(영알못도 아는) 48개 영어 동사로 프리토킹 깨부수기 :집에 쌓여 있던 영어책을 전부 버렸다!","조찬웅 지음","책들의정원","2023","9791164161607","7","3"
"000000028091","(영어면접, 스피킹 시험 완벽 대비) 영어 토론 무작정 따라하기","소리클럽 지음","길벗이지톡","2011","9788960471726","7","3"
"000000018290","(영원한 라이벌) 김대중 VS 김영삼","이동형 지음","왕의서재","2011","9788993949445","3","3"
"000001590423","(영화로 배우는) 프랑스어 .[1]","선영아","KNOU Press(한국방송통신대학교출판문화원)","2023","9788920044625","7","3"
"000001590424","(영화로 배우는) 프랑스어 .[2] ,워크북","선영아","KNOU Press(한국방송통신대학교출판문화원)","2023","9788920044861","7","3"
"000001558911","(외식창업을 위한) 모던 한식조리 =Modern Korean cooking","이진택 저","백산출판사","2022","9791165675271","5","3"
"000001624786","(외울 필요 없이 술술 읽고 바로 써먹는)하루 3분 과학","이케다 케이이치","시공사","2022","9791169250757","4","3"
"000001625715","(우리 주변에서 만날 수 있는)야생 풀?나무 약초 도감","약산","푸른행복","2023","9791156374428","4","3"
"000001368491","(우리가 지금껏 몰랐던) 신화의 비밀, 명화의 비밀 :풍요롭고 지적인 삶을 위한 교양 수업","제라르 드니조 지음","생각의길 : 아름다운사람들","2020","9788965135746","6","3"
"000000310016","(운명을 만드는) 절제의 성공학","미즈노 남보쿠 지음","바람출판사","2012","9788995564189","1","3"
"000001371179","(웅가가 알려주는) 5분 와인","정휘웅","J&jj(제이 앤 제이제이)","2019","9791186972649","5","3"
"000001549262","(월남전소대장) 전투 일기 :Vietnam War 1966~1968","김형석 지음","지식공감","2022","9791156226819","3","3"
